"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"140","CrossesMhPc",130.28,60.4636794557968,2.15468197060756,0.0336888398364874,"F2","Fitness","HSD","female","Maternal",0.0995580639943955,".",0.127955776993631," "
"141","CrossesMcPh",89.32,60.4636794557967,1.47725048829189,0.142881655657153,"F2","Fitness","HSD","female","Paternal",0.321483725228595," ",0.384110424948451," "
"142","CrossesMhPh",-19.2399999999999,42.1907541214107,-0.456024083964789,0.649402596964469,"F3","Fitness","HSD","female","Parental",0.79864418757121," ",0.979274604144311," "
"143","CrossesMhPc",66.8000000000001,42.1907541214107,1.58328528112516,0.116645438833406,"F3","Fitness","HSD","female","Maternal",0.275571731517719," ",0.324835012380862," "
"144","CrossesMcPh",54.84,42.1907541214107,1.29981085055245,0.196778220233525,"F3","Fitness","HSD","female","Paternal",0.375337378348772," ",0.471785080930248," "
"145","CrossesMhPh",0.10375,0.0435611867693435,2.38170737976806,0.0182527712334626,"F1","Weight","HSD","female","Parental",0.0592467000692721,".",0.0787150759443075,"."
"146","CrossesMhPc",0.12375,0.0435611867693435,2.84083169394021,0.00500676250616284,"F1","Weight","HSD","female","Maternal",0.0202314076779641,"*",0.0286154318907675,"*"
"147","CrossesMcPh",0.0266666666666668,0.0435611867693436,0.612165752229543,0.541183832947454,"F1","Weight","HSD","female","Paternal",0.733934239202712," ",0.907085452794518," "
"148","CrossesMhPh",-0.0174999999999999,0.0511663664545317,-0.34202155073003,0.732725005424063,"F2","Weight","HSD","female","Parental",0.86284406708447," ",0.999986154515138," "
"149","CrossesMhPc",0.136666666666667,0.0511663664545317,2.67102544379644,0.00823978099877933,"F2","Weight","HSD","female","Maternal",0.0291335113885412,"*",0.0401325803940546,"*"
"150","CrossesMcPh",-0.0983333333333334,0.0511663664545318,-1.92183538029256,0.0561715411091454,"F2","Weight","HSD","female","Paternal",0.156647396332546," ",0.189065187147855," "
"151","CrossesMhPh",-0.00266666666666671,0.0494650211177174,-0.0539101491601621,0.957053143956397,"F3","Weight","HSD","female","Parental",0.986961054705035," ",0.999986154515138," "
"152","CrossesMhPc",0.0486666666666665,0.0494650211177176,0.983860222172934,0.326209160766675,"F3","Weight","HSD","female","Maternal",0.561647076798275," ",0.689033635496956," "
"153","CrossesMcPh",0.0166666666666665,0.0494650211177177,0.336938432251003,0.736467915844825,"F3","Weight","HSD","female","Paternal",0.86284406708447," ",0.999986154515138," "
"154","CrossesMhPh",-16.0911042960915,2.90066768744889,-5.54737944153938,1.00352212708602e-07,"F1","TAG","HSD","male","Parental",1.52844139356178e-06,"***",1.88844618460732e-06,"***"
"155","CrossesMhPc",-14.0529116655127,2.89137503290236,-4.86028671673435,2.51181926650662e-06,"F1","TAG","HSD","male","Maternal",2.76300119315728e-05,"***",3.46631058777913e-05,"***"
"156","CrossesMcPh",-7.20333974288312,2.88861118596582,-2.49370347171686,0.0135289379073323,"F1","TAG","HSD","male","Paternal",0.0446454950941966,"*",0.0602255945552213,"."
"157","CrossesMhPh",-28.1207370740924,2.38070585038533,-11.8119326121457,2.6926385751907e-24,"F2","TAG","HSD","male","Parental",5.33142437887758e-22,"***",1.85792061688158e-22,"***"
"158","CrossesMhPc",-19.6161105240881,2.38942464382772,-8.20955395047076,3.87885478599018e-14,"F2","TAG","HSD","male","Maternal",1.92003311906514e-12,"***",1.78427320155548e-12,"***"
"159","CrossesMcPh",5.25489462340693,2.36769535593981,2.21941332537737,0.0276872742856705,"F2","TAG","HSD","male","Paternal",0.083305347025324,".",0.109487027518997," "
"160","CrossesMhPh",0.726370634611968,2.48803759098194,0.291945201006909,0.770590541278784,"F3","TAG","HSD","male","Parental",0.875948854118207," ",0.999986154515138," "
"161","CrossesMhPc",-0.25163836427625,2.48337680085096,-0.101329111309256,0.919377104055795,"F3","TAG","HSD","male","Maternal",0.968280141505571," ",0.999986154515138," "
"162","CrossesMcPh",1.85824356404001,2.48238607117185,0.748571539946964,0.454876990409188,"F3","TAG","HSD","male","Paternal",0.669916847365391," ",0.836722369698125," "
"163","CrossesMhPh",-0.90107052254769,1.79594422630322,-0.50172522584538,0.616463895319448,"F1","Glycogen","HSD","male","Parental",0.7824349440593," ",0.955865365776223," "
"164","CrossesMhPc",-2.7673692847394,1.79386773537071,-1.54268301401134,0.124635162846416,"F1","Glycogen","HSD","male","Maternal",0.283652439581499," ",0.33946682512116," "
"165","CrossesMcPh",0.0680847850885428,1.79192376577469,0.0379953580553736,0.969732799602116,"F1","Glycogen","HSD","male","Paternal",0.987398431360041," ",0.999986154515138," "
"166","CrossesMhPh",8.20271524026725,2.05070848820418,3.9999421114458,9.1870406528656e-05,"F2","Glycogen","HSD","male","Parental",0.000551222439171936,"***",0.000826833658757904,"***"
"167","CrossesMhPc",15.4467726469058,2.05390069455214,7.52070082447389,2.36585685027159e-12,"F2","Glycogen","HSD","male","Maternal",9.36879312707549e-11,"***",9.79464736012437e-11,"***"
"168","CrossesMcPh",8.96678037478647,2.05454813080031,4.36435644430176,2.12805478528971e-05,"F2","Glycogen","HSD","male","Paternal",0.000160151219526963,"***",0.0002259012002846,"***"
"169","CrossesMhPh",-0.0716321522457203,1.67298936566272,-0.0428168604749885,0.96588451013387,"F3","Glycogen","HSD","male","Parental",0.987398431360041," ",0.999986154515138," "
"170","CrossesMhPc",-0.468733744751153,1.67402145049541,-0.280004622767788,0.779724533755404,"F3","Glycogen","HSD","male","Maternal",0.875948854118207," ",0.999986154515138," "
"171","CrossesMcPh",1.43641688901944,1.67731904033869,0.856376666856051,0.392676942590193,"F3","Glycogen","HSD","male","Paternal",0.622000277062866," ",0.766831387888396," "
"172","CrossesMhPh",-1.03313943298708,1.59842426823263,-0.646348690719905,0.518863323118142,"F1","Trehalose","HSD","male","Parental",0.728616581399944," ",0.891325376642783," "
"173","CrossesMhPc",0.828500280725263,1.59657615209925,0.518923121603635,0.604441314683125,"F1","Trehalose","HSD","male","Maternal",0.772125034240379," ",0.940747008566969," "
"174","CrossesMcPh",-0.448210210731501,1.5948459824573,-0.281036674175214,0.778999767064732,"F1","Trehalose","HSD","male","Paternal",0.875948854118207," ",0.999986154515138," "
"175","CrossesMhPh",3.05238993563928,0.985726036220918,3.09659055708983,0.00226578715869111,"F2","Trehalose","HSD","male","Parental",0.01019604221411,"*",0.0144313212876634,"*"
"176","CrossesMhPc",3.07931231954372,0.987260452705892,3.11904757362043,0.00210811630951712,"F2","Trehalose","HSD","male","Maternal",0.00970714021591602,"**",0.0136368773771888,"*"
"177","CrossesMcPh",5.5902825078544,0.987571659671817,5.66063480366794,5.74453659710489e-08,"F2","Trehalose","HSD","male","Paternal",1.03401658747888e-06,"***",1.25170429010601e-06,"***"
"178","CrossesMhPh",0.465815639790051,1.11609735238764,0.417361118896611,0.676801922980461,"F3","Trehalose","HSD","male","Parental",0.810582332640423," ",0.986204225426628," "
"179","CrossesMhPc",-0.0187548925929807,1.11678588464782,-0.0167936332745601,0.986615744739642,"F3","Trehalose","HSD","male","Maternal",0.987398431360041," ",0.999986154515138," "
"180","CrossesMcPh",0.590452213112839,1.11898579779066,0.527667298618657,0.598236734751419,"F3","Trehalose","HSD","male","Paternal",0.769161516108967," ",0.937647269763424," "
"181","CrossesMhPh",0.328270142061866,0.589312415121653,0.557039243766993,0.578181252243098,"F1","Glucose","HSD","male","Parental",0.753157157527194," ",0.92064245549478," "
"182","CrossesMhPc",-0.980428197083171,0.588631045473035,-1.66560735221718,0.0975025691764486,"F1","Glucose","HSD","male","Maternal",0.24131885871171," ",0.284268053796125," "
"183","CrossesMcPh",-0.926278811779174,0.587993160732085,-1.57532242488315,0.116909219431759,"F1","Glucose","HSD","male","Paternal",0.275571731517719," ",0.324835012380862," "
"184","CrossesMhPh",2.31481618272412,0.532795956870894,4.34465793681885,2.30861810190011e-05,"F2","Glucose","HSD","male","Parental",0.000163252280062936,"***",0.000233114120533328,"***"
"185","CrossesMhPc",2.98454342251563,0.5336253261574,5.59295684859473,8.02441716249509e-08,"F2","Glucose","HSD","male","Maternal",1.32402883181169e-06,"***",1.66105435263648e-06,"***"
"186","CrossesMcPh",1.47801346965289,0.533793537006158,2.76888603399453,0.00620405187252885,"F2","Glucose","HSD","male","Paternal",0.0245365850427287,"*",0.0342463663363593,"*"
"187","CrossesMhPh",0.24975570940373,0.439304038520864,0.568525867061584,0.570230217983481,"F3","Glucose","HSD","male","Parental",0.752703887738195," ",0.92064245549478," "
"188","CrossesMhPc",0.0887160666996487,0.439575049828169,0.201822343498176,0.840233231866,"F3","Glucose","HSD","male","Maternal",0.904701512011389," ",0.999986154515138," "
"189","CrossesMcPh",0.58056164228229,0.440440951647553,1.31813728971066,0.188763265458309,"F3","Glucose","HSD","male","Paternal",0.373751265607452," ",0.465166618450833," "
"190","CrossesMhPh",0.0416666666666659,0.0435611867693435,0.956508987858638,0.340070182699972,"F1","Weight","HSD","male","Parental",0.570655290528479," ",0.704709539151302," "
"191","CrossesMhPc",0.030416666666666,0.0435611867693435,0.698251561136804,0.485901397675645,"F1","Weight","HSD","male","Maternal",0.687203405284126," ",0.856013526117944," "
"192","CrossesMcPh",-0.0129166666666676,0.0435611867693436,-0.296517786236205,0.767169112868251,"F1","Weight","HSD","male","Paternal",0.875948854118207," ",0.999986154515138," "
"193","CrossesMhPh",-0.000833333333334743,0.0511663664545317,-0.0162867405109814,0.987023282107708,"F2","Weight","HSD","male","Parental",0.987398431360041," ",0.999986154515138," "
"194","CrossesMhPc",0.0387499999999987,0.0511663664545317,0.75733343375933,0.449818868599821,"F2","Weight","HSD","male","Maternal",0.669655157765148," ",0.831361658930027," "
"195","CrossesMcPh",0.0424999999999986,0.0511663664545318,0.83062376605862,0.407262684582795,"F2","Weight","HSD","male","Paternal",0.634452931255487," ",0.787882015968584," "
"196","CrossesMhPh",0.0420000000000012,0.0494650211177174,0.849084849272562,0.396709356006981,"F3","Weight","HSD","male","Parental",0.623400416582399," ",0.77106888914033," "
"197","CrossesMhPc",0.049666666666668,0.0494650211177176,1.00407652810802,0.316387815980322,"F3","Weight","HSD","male","Maternal",0.549515680386875," ",0.67517812276213," "
"198","CrossesMcPh",0.0686666666666677,0.0494650211177174,1.38818634087417,0.166411860251025,"F3","Weight","HSD","male","Paternal",0.354296218598956," ",0.427916212074064," "
"199","Both vs Maternal NSD",15.700574228021,3.80467441099371,4.12665382947193,0.00012011852775462,"F1","TAG","NSD","female","NA",0.00172970679966653,"**",0.000994581409808255,"***"
"200","Both vs Paternal NSD",17.0469628306373,3.70871317615585,4.59646298350492,9.60398941030061e-06,"F1","TAG","NSD","female","NA",0.000159573977894225,"***",0.000110445878218457,"***"
"201","Maternal vs Paternal NSD",1.34638860261629,3.63055257821537,0.370849498419361,0.928459496121144,"F1","TAG","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"202","Both vs Maternal * Paternal NSD",16.3737685293292,3.28934984343937,4.9778130356024,1.29591333419832e-06,"F1","TAG","NSD","female","NA",2.54470254715306e-05,"***",1.98706711243742e-05,"***"
"203","Both vs Maternal NSD",4.41200990104559,1.68615445944362,2.61661075966992,0.02635133069111,"F1","Glycogen","NSD","female","NA",0.145945831519994," ",0.105921181373887," "
"204","Both vs Paternal NSD",2.68717581102132,1.6814008577995,1.5981767813168,0.254763877106718,"F1","Glycogen","NSD","female","NA",0.764291631320154," ",0.576351066241428," "
"205","Maternal vs Paternal NSD",-1.72483409002426,1.70191198293291,-1.01346844450313,0.576239320771315,"F1","Glycogen","NSD","female","NA",0.999986154515138," ",0.92064245549478," "
"206","Both vs Maternal * Paternal NSD",3.54959285603346,1.45292351947465,2.44306930712838,0.0415802365088397,"F1","Glycogen","NSD","female","NA",0.203588884248795," ",0.151001911532102," "
"207","Both vs Maternal NSD",-0.197659351954249,2.38676553903795,-0.082814733463062,0.996319640697156,"F1","Trehalose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"208","Both vs Paternal NSD",-0.385012625426927,2.38003677671909,-0.161767510986814,0.986030096305686,"F1","Trehalose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"209","Maternal vs Paternal NSD",-0.187353273472678,2.40907044345177,-0.0777699439972514,0.99675382927367,"F1","Trehalose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"210","Both vs Maternal * Paternal NSD",-0.291335988690588,2.0566252206124,-0.141657306236786,0.989269495986395,"F1","Trehalose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"211","Both vs Maternal NSD",1.85638692315359,0.60202196417984,3.08358670216065,0.00645021788407074,"F1","Glucose","NSD","female","NA",0.0535864254984339,".",0.0346803922598089,"*"
"212","Both vs Paternal NSD",1.4211144301908,0.600324745646454,2.36724279733044,0.0507051083030916,"F1","Glucose","NSD","female","NA",0.218906801567332," ",0.176290221875836," "
"213","Maternal vs Paternal NSD",-0.435272492962794,0.607648005844353,-0.71632341219974,0.759107527238202,"F1","Glucose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"214","Both vs Maternal * Paternal NSD",1.63875067667219,0.51874955233095,3.15904017518402,0.00504571625127059,"F1","Glucose","NSD","female","NA",0.0447081678205092,"*",0.0286154318907675,"*"
"215","Both vs Maternal NSD",0.679999999999957,36.3482122439788,0.0187079352193615,0.999811684827338,"F1","Fitness","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"216","Both vs Paternal NSD",-15.32,36.3482122439788,-0.421478775824463,0.908858379516737,"F1","Fitness","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"217","Maternal vs Paternal NSD",-15.9999999999999,36.3482122439788,-0.440186711043825,0.901013887082157,"F1","Fitness","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"218","Both vs Maternal * Paternal NSD",-7.32,31.4784751854343,-0.232539853245087,0.971322613474646,"F1","Fitness","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"219","Both vs Maternal NSD",-20.3167147810521,3.61508094693083,-5.61998889632078,3.81939353477634e-08,"F1","TAG","NSD","male","NA",1.03123625438961e-06,"***",8.78460512998558e-07,"***"
"220","Both vs Paternal NSD",-40.1734024166979,3.62012413568984,-11.0972444344212,0,"F1","TAG","NSD","male","NA",0,"***",0,"***"
"221","Maternal vs Paternal NSD",-19.8566876356458,3.62948872818974,-5.47093244330025,8.95347722629225e-08,"F1","TAG","NSD","male","NA",2.14883453431014e-06,"***",1.76511408175476e-06,"***"
"222","Both vs Maternal * Paternal NSD",-30.245058598875,3.12949794668716,-9.66450820998044,0,"F1","TAG","NSD","male","NA",0,"***",0,"***"
"223","Both vs Maternal NSD",-5.08859475377901,1.68459407374829,-3.02066523507155,0.00776319570676565,"F1","Glycogen","NSD","male","NA",0.05782242319522,".",0.0387224460554335,"*"
"224","Both vs Paternal NSD",-9.14489451663103,1.68370928884722,-5.43139755610199,1.11828819204796e-07,"F1","Glycogen","NSD","male","NA",2.41550249482358e-06,"***",2.01291874568632e-06,"***"
"225","Maternal vs Paternal NSD",-4.05629976285202,1.67741353215281,-2.41818709882836,0.0442154776564245,"F1","Glycogen","NSD","male","NA",0.203588884248795," ",0.156751840365347," "
"226","Both vs Maternal * Paternal NSD",-7.11674463520502,1.46045816162833,-4.87295344857414,2.20068759537728e-06,"F1","Glycogen","NSD","male","NA",3.96123767167911e-05,"***",3.14167125684895e-05,"***"
"227","Both vs Maternal NSD",1.03608465197562,2.38455680022143,0.434497786707957,0.903396199919055,"F1","Trehalose","NSD","male","NA",0.999986154515138," ",0.999986154515138," "
"228","Both vs Paternal NSD",2.04947828910415,2.38330437989926,0.859931407162848,0.671968368035633,"F1","Trehalose","NSD","male","NA",0.999986154515138," ",0.986204225426628," "
"229","Maternal vs Paternal NSD",1.01339363712853,2.37439268439222,0.42680119585524,0.906621918127118,"F1","Trehalose","NSD","male","NA",0.999986154515138," ",0.999986154515138," "
"230","Both vs Maternal * Paternal NSD",1.54278147053989,2.06729056870117,0.746281869562815,0.74117633072017,"F1","Trehalose","NSD","male","NA",0.999986154515138," ",0.999986154515138," "
"231","Both vs Maternal NSD",-0.848517137522616,0.601464846499476,-1.41075100641539,0.343843784803292,"F1","Glucose","NSD","male","NA",0.89482237972905," ",0.704709539151302," "
"232","Both vs Paternal NSD",-1.37349666069843,0.601148944275316,-2.2847859482714,0.0612349251278212,"F1","Glucose","NSD","male","NA",0.242124645349525," ",0.200976165595243," "
"233","Maternal vs Paternal NSD",-0.524979523175815,0.598901117102695,-0.876571287286137,0.661624275000512,"F1","Glucose","NSD","male","NA",0.999986154515138," ",0.981765053226566," "
"234","Both vs Maternal * Paternal NSD",-1.11100689911052,0.521439709239974,-2.13065265154024,0.088467878577224,"F1","Glucose","NSD","male","NA",0.312046077732471," ",0.263494257057344," "
"235","Both vs Maternal NSD",-3.90760164082733,3.24298352658099,-1.20494033003832,0.458915156850779,"F2","TAG","NSD","female","NA",0.999986154515138," ",0.836964206767501," "
"236","Both vs Paternal NSD",-2.31406057434479,3.21534525125368,-0.719692721471365,0.757064957068291,"F2","TAG","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"237","Maternal vs Paternal NSD",1.59354106648255,3.25302224960608,0.489864791633538,0.878979034891539,"F2","TAG","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"238","Both vs Maternal * Paternal NSD",-3.11083110758606,2.78965144419685,-1.11513254247492,0.513040803722701,"F2","TAG","NSD","female","NA",0.999986154515138," ",0.888698295988277," "
"239","Both vs Maternal NSD",-1.72792342993465,2.22279508600222,-0.777365147519011,0.722653890884222,"F2","Glycogen","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"240","Both vs Paternal NSD",2.5047592200202,2.25735537550508,1.10959897905298,0.516267877383693,"F2","Glycogen","NSD","female","NA",0.999986154515138," ",0.890562088486871," "
"241","Maternal vs Paternal NSD",4.23268264995485,2.24101117175795,1.88873786230818,0.148307448195881,"F2","Glycogen","NSD","female","NA",0.478125504631496," ",0.393585150981376," "
"242","Both vs Maternal * Paternal NSD",0.388417895042777,1.93976876839809,0.200239276645093,0.978655444457272,"F2","Glycogen","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"243","Both vs Maternal NSD",1.21516477754415,1.2369539985732,0.982384776593003,0.595438978619866,"F2","Trehalose","NSD","female","NA",0.999986154515138," ",0.937306985355987," "
"244","Both vs Paternal NSD",1.86834109473778,1.25618631043209,1.48731209632043,0.305491856224143,"F2","Trehalose","NSD","female","NA",0.835268872714114," ",0.658716814983309," "
"245","Maternal vs Paternal NSD",0.65317631719363,1.24709099242198,0.523759951088328,0.862819222469152,"F2","Trehalose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"246","Both vs Maternal * Paternal NSD",1.54175293614097,1.07945385946163,1.42827127127964,0.33487291294811,"F2","Trehalose","NSD","female","NA",0.88210425849746," ",0.700188817982412," "
"247","Both vs Maternal NSD",-0.30896269440928,0.515831616518584,-0.598960367133969,0.824535943036327,"F2","Glucose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"248","Both vs Paternal NSD",0.304396070540038,0.523851829499023,0.581072840446395,0.833943993951004,"F2","Glucose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"249","Maternal vs Paternal NSD",0.613358764949318,0.520058921600007,1.17940244744243,0.473938664655264,"F2","Glucose","NSD","female","NA",0.999986154515138," ",0.849003225222621," "
"250","Both vs Maternal * Paternal NSD",-0.00228331193462084,0.450151282849314,-0.00507232128756403,0.999986154515138,"F2","Glucose","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"251","Both vs Maternal NSD",-33.7199999999998,46.0847125773106,-0.731696003168772,0.749888392876713,"F2","Fitness","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"252","Both vs Paternal NSD",23.9200000000001,46.0847125773106,0.519044139851636,0.865100705828548,"F2","Fitness","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"253","Maternal vs Paternal NSD",57.6399999999999,46.0847125773106,1.25074014302041,0.431913812205847,"F2","Fitness","NSD","female","NA",0.999986154515138," ",0.805873346398912," "
"254","Both vs Maternal * Paternal NSD",-4.89999999999986,39.9105318180553,-0.122774610529823,0.991921611282678,"F2","Fitness","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"255","Both vs Maternal NSD",-6.44412409232675,3.21459220127616,-2.00464746034302,0.116749004755477,"F2","TAG","NSD","male","NA",0.387965923495123," ",0.324835012380862," "
"256","Both vs Paternal NSD",-6.28028921363344,3.2184195405932,-1.95135815403231,0.13057886375155,"F2","TAG","NSD","male","NA",0.427349008641436," ",0.35333104309243," "
"257","Maternal vs Paternal NSD",0.163834878693311,3.21894161178014,0.0508971265877382,0.998607018731114,"F2","TAG","NSD","male","NA",0.999986154515138," ",0.999986154515138," "
"258","Both vs Maternal * Paternal NSD",-6.36220665298009,2.784872960276,-2.28455902431886,0.0616521087695551,"F2","TAG","NSD","male","NA",0.242124645349525," ",0.200976165595243," "
"259","Both vs Maternal NSD",0.622325496635957,2.22080223913375,0.280225535470777,0.958631128850871,"F2","Glycogen","NSD","male","NA",0.999986154515138," ",0.999986154515138," "
"260","Both vs Paternal NSD",-13.3392846290351,2.23379521792618,-5.97157900687921,4.73101879894244e-09,"F2","Glycogen","NSD","male","NA",1.45985722938795e-07,"***",1.50664752520167e-07,"***"
"261","Maternal vs Paternal NSD",-13.9616101256711,2.22948809113177,-6.26224924959509,7.58926477217869e-10,"F2","Glycogen","NSD","male","NA",2.73213531798433e-08,"***",2.61829634640165e-08,"***"
"262","Both vs Maternal * Paternal NSD",-6.35847956619958,1.92827579546108,-3.29749488178332,0.00299562961557021,"F2","Glycogen","NSD","male","NA",0.0294116362255984,"*",0.0182380979536186,"*"
"263","Both vs Maternal NSD",0.998454249408685,1.23584500750244,0.807912192343999,0.70411191589339,"F2","Trehalose","NSD","male","NA",0.999986154515138," ",0.999986154515138," "
"264","Both vs Paternal NSD",1.71734595262143,1.24307541626656,1.38152997810808,0.359332173565684,"F2","Trehalose","NSD","male","NA",0.91614458359624," ",0.727898933250392," "
"265","Maternal vs Paternal NSD",0.718891703212749,1.2406785611789,0.579434291610272,0.834812422663509,"F2","Trehalose","NSD","male","NA",0.999986154515138," ",0.999986154515138," "
"266","Both vs Maternal * Paternal NSD",1.35790010101506,1.07305818272136,1.2654487173951,0.423450647379488,"F2","Trehalose","NSD","male","NA",0.999986154515138," ",0.802521763446655," "
"267","Both vs Maternal NSD",-0.759010320395446,0.515369147698084,-1.47275079190439,0.312651418475145,"F2","Glucose","NSD","male","NA",0.844158829882893," ",0.670661591962229," "
"268","Both vs Paternal NSD",-1.53607377039361,0.518384355575812,-2.96319469110399,0.00903190636797335,"F2","Glucose","NSD","male","NA",0.0640586097956617,".",0.0434791771667554,"*"
"269","Maternal vs Paternal NSD",-0.777063449998161,0.517384824763951,-1.50190614955258,0.29843153488335,"F2","Glucose","NSD","male","NA",0.830697340737578," ",0.650205510158471," "
"270","Both vs Maternal * Paternal NSD",-1.14754204539453,0.447484172936198,-2.56443046435553,0.0304535489550443,"F2","Glucose","NSD","male","NA",0.159957321658681," ",0.117829619321386," "
"271","Both vs Maternal NSD",3.67260970224402,2.66209010651444,1.37959631541274,0.360519859285557,"F3","TAG","NSD","female","NA",0.91614458359624," ",0.727898933250392," "
"272","Both vs Paternal NSD",-2.79781530498616,2.66429809292271,-1.05011346606377,0.553210318961461,"F3","TAG","NSD","female","NA",0.999986154515138," ",0.912466422510139," "
"273","Maternal vs Paternal NSD",-6.47042500723018,2.67582300252608,-2.41810650447427,0.0442037586273283,"F3","TAG","NSD","female","NA",0.203588884248795," ",0.156751840365347," "
"274","Both vs Maternal * Paternal NSD",0.437397198628929,2.30273681656522,0.189946673663451,0.980781025666428,"F3","TAG","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
"275","Both vs Maternal NSD",-3.95305873233313,1.75963262244974,-2.24652503136122,0.067468457130597,"F3","Glycogen","NSD","female","NA",0.255669942810683," ",0.211605615545963," "
"276","Both vs Paternal NSD",-4.28498422183981,1.77239110253372,-2.41762905247844,0.0442994331467286,"F3","Glycogen","NSD","female","NA",0.203588884248795," ",0.156751840365347," "
"277","Maternal vs Paternal NSD",-0.331925489506671,1.75238781343827,-0.189413260558698,0.980866062138347,"F3","Glycogen","NSD","female","NA",0.999986154515138," ",0.999986154515138," "
